X Accel,Y Accel,Z Accel,X Rotation,Y Rotation,Z Rotation,time,V,Prev V
0.359231844,-0.659200881,9.864045065,-0.04,0,0,27.79378152,0,0
0.31486453,-0.597442914,9.891939668,-0.05,0,-0.03,27.8496387,0,0
0.234241352,-0.51188451,9.826495618,-0.05,-0.01,-0.04,27.9042778,0,0
0.130666756,-0.474808558,9.770465908,-0.05,-0.01,-0.05,27.96032643,0,0
0.010841769,-0.495036118,9.814486568,-0.06,0,-0.04,28.0162406,0,0
-0.052359184,-0.530840862,9.876121081,-0.04,-0.01,-0.02,28.07235909,0,0
-0.001532701,-0.549833779,9.851757176,-0.05,-0.02,-0.02,28.12930799,0,0
0.109076439,-0.541903318,9.812296085,-0.07,-0.01,-0.01,28.1842885,0,0
0.1884991,-0.517269993,9.838695043,-0.05,0,0,28.24034929,0,0
0.230871266,-0.51331861,9.850763197,-0.04,-0.01,0,28.29612994,0,0
0.273564936,-0.566774023,9.807591878,-0.06,0,-0.02,28.35290241,0,0
0.289430955,-0.648083062,9.812551615,-0.07,0,-0.03,28.40821695,0,0
0.228126653,-0.665631142,9.877082226,-0.05,-0.01,-0.02,28.46349478,0,0
0.110309778,-0.590107352,9.8931983,-0.04,-0.03,-0.02,28.51929569,0,0
-0.011039215,-0.513969735,9.872319993,-0.06,-0.03,-0.04,28.57544875,0,0
-0.102476176,-0.520782894,9.901205611,-0.07,-0.02,-0.05,28.63139391,0,0
-0.107179089,-0.578426151,9.940323184,-0.06,-0.03,-0.02,28.68733764,0,0
0.024194397,-0.614383973,9.912514315,-0.04,-0.03,0,28.74289012,0,0
0.228674416,-0.604365238,9.843412892,-0.05,-0.02,0.01,28.79851913,0,0
0.382254531,-0.564120094,9.782642979,-0.06,-0.02,0.02,28.85504889,0,0
0.439719964,-0.525831728,9.742252845,-0.05,-0.02,0,28.91186881,0,0
0.428269225,-0.506677218,9.735865986,-0.05,-0.01,-0.03,28.96381259,0,0
0.369632669,-0.481420744,9.775470956,-0.06,-0.02,-0.04,29.01969647,0,0
0.276725833,-0.461398062,9.851371083,-0.05,-0.03,-0.04,29.07635546,0,0
0.172480059,-0.551541307,9.924894462,-0.05,0,-0.05,29.13223195,0,0
0.107685391,-0.754349462,9.926965357,-0.06,0.02,-0.04,29.18689728,0,0
0.162773845,-0.81904158,9.831199048,-0.07,0,0.01,29.24215341,0,0
0.341475525,-0.575563473,9.721194624,-0.04,-0.02,0.03,29.29696107,0,0
0.488020376,-0.285492683,9.699769166,-0.01,-0.01,0.01,29.35229826,0,0
0.446545161,-0.291770223,9.763594568,-0.05,0.01,-0.03,29.40703368,0,0
0.259221246,-0.488705077,9.838515099,-0.11,0.01,-0.07,29.46232295,0,0
0.079494237,-0.541848989,9.882387353,-0.09,-0.01,-0.07,29.51912165,0,0
-0.030536495,-0.438243628,9.893159163,-0.03,-0.02,-0.04,29.57305646,0,0
-0.085697384,-0.421598306,9.875568415,-0.03,-0.02,-0.02,29.62833619,0,0
-0.054290122,-0.547595796,9.84029292,-0.09,0.01,0,29.6852808,0,0
0.101683527,-0.63941027,9.802099854,-0.09,0,0.01,29.73984051,0,0
0.313137547,-0.598403816,9.783172941,-0.04,-0.02,0.02,29.79566169,0,0
0.447444525,-0.531979045,9.807724098,-0.03,-0.01,0,29.8520577,1.157278122,0
0.444268546,-0.571155194,9.848707367,-0.06,0.01,-0.02,29.90695238,1.157278122,0
0.349612272,-0.6777417,9.837807042,-0.07,0.01,-0.03,29.96225643,1.157278122,0
0.244484477,-0.710743432,9.777288767,-0.05,0,-0.04,30.01698565,1.157278122,0
0.171494914,-0.647927505,9.756187467,-0.03,-0.01,-0.03,30.07194829,1.157278122,0
0.114447681,-0.608061767,9.825414349,-0.05,-0.01,-0.02,30.12835884,1.157278122,0
0.049147843,-0.646377619,9.925137347,-0.07,0,-0.03,30.18466115,1.157278122,0
0.004537652,-0.680909728,9.94808589,-0.05,-0.01,-0.03,30.2404542,1.157278122,0
0.023482271,-0.640124213,9.8597375,-0.05,-0.02,-0.02,30.29623508,1.157278122,0
0.081322496,-0.557912912,9.750109126,-0.05,-0.02,-0.01,30.35209179,1.157278122,0
0.127523689,-0.519831697,9.733288041,-0.06,-0.01,-0.01,30.40852499,1.157278122,0
0.181770775,-0.581698176,9.807268622,-0.05,0,-0.01,30.46424818,1.157278122,0
0.285676809,-0.703249804,9.863633118,-0.04,0,0,30.51917124,1.157278122,0
0.386877934,-0.748614935,9.830913476,-0.04,0,-0.01,30.57537317,1.157278122,0
0.376626035,-0.63792693,9.771766827,-0.05,-0.02,-0.01,30.63141489,1.157278122,0
0.233621934,-0.486884695,9.791435836,-0.04,-0.02,-0.04,30.68704963,1.157278122,0
0.05589885,-0.47716137,9.867438096,-0.05,-0.01,-0.06,30.7434144,1.157278122,0
-0.044369421,-0.604790441,9.894879327,-0.06,-0.01,-0.04,30.79926658,1.157278122,0
-0.021527202,-0.692562885,9.861438814,-0.07,0,-0.02,30.85556841,1.157278122,0
0.109998808,-0.644187326,9.81514121,-0.03,-0.01,0.01,30.91085219,1.157278122,0
0.286966423,-0.539996048,9.765767797,-0.03,-0.02,0.03,30.96616435,1.157278122,0
0.416351997,-0.458004146,9.729215323,-0.04,0,0,31.02102137,1.157278122,0
0.449083451,-0.363325484,9.722661363,-0.05,0,-0.03,31.0770359,1.157278122,0
0.390743495,-0.268788265,9.738388283,-0.03,-0.01,-0.05,31.13167906,1.157278122,0
0.229607801,-0.324362983,9.811196197,-0.04,-0.01,-0.05,31.18669581,1.157278122,0
-0.001465118,-0.558916496,9.939258936,-0.06,0.02,-0.06,31.24333835,1.157278122,0
-0.122701892,-0.727881096,9.978258786,-0.09,0.01,-0.04,31.29826188,1.157278122,0
-0.000554848,-0.661193471,9.850076653,-0.06,-0.01,0.01,31.35301161,1.157278122,0
0.213452156,-0.529454307,9.703988133,-0.02,-0.01,0.03,31.40799642,1.157278122,0
0.287483211,-0.522143975,9.693346403,-0.05,-0.01,0.02,31.46294403,1.157278122,0
0.242896728,-0.551641552,9.778266197,-0.08,0.01,-0.02,31.51795435,1.157278122,0
0.22954744,-0.497099009,9.84314199,-0.05,-0.01,-0.05,31.57309127,1.157278122,0
0.217283965,-0.445863867,9.874294544,-0.02,-0.03,-0.03,31.62941504,1.157278122,0
0.092122291,-0.507295764,9.927110269,-0.05,-0.01,-0.03,31.68525863,1.157278122,0
-0.059886857,-0.611065142,9.970196211,-0.07,0,-0.04,31.74154568,1.157278122,0
-0.047047632,-0.628639044,9.920726829,-0.06,-0.02,-0.02,31.79754066,1.157278122,0
